MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0.331,35,7.11,3.65,1030.0,4.31,40.5536,-120.1867,1.626
0.207,33,6.55,3.18,4354.0,2.27,38.363,-123.223,1.397
0.387,20,3.86,1.88,3193.0,2.61,32.6178,-123.5267,1.519
0.413,39,6.85,2.99,957.0,3.26,37.0239,-117.6822,1.976
0.15,37,6.85,3.56,755.0,2.85,34.5001,-122.9484,0.322
0.188,17,4.33,2.74,3092.0,3.4,33.9285,-115.5112,0.772
0.311,37,2.98,1.67,3939.0,1.97,34.7272,-121.2353,0.23
0.266,46,5.43,2.87,3948.0,2.85,39.268,-120.8896,1.022
0.296,41,6.62,3.36,3020.0,3.47,38.4601,-117.5687,1.095
0.221,37,7.09,3.32,2675.0,3.48,37.6001,-122.1883,1.001
0.404,39,4.63,2.46,3537.0,2.6,37.2051,-124.4261,1.084
0.39,41,7.25,3.9,827.0,2.28,36.1972,-119.8188,2.25
0.304,15,3.27,1.71,1951.0,3.15,40.9224,-118.9573,0.47
0.441,37,5.13,2.73,674.0,2.08,41.3583,-119.8181,1.932
0.35,10,5.08,2.56,4226.0,3.9,39.7622,-119.6911,1.546
0.22,18,6.65,3.36,3108.0,3.11,35.2381,-117.5097,1.212
0.338,47,6.8,3.04,3930.0,2.51,41.1817,-115.6203,1.303
0.213,15,6.45,3.39,2588.0,2.26,40.2818,-120.6622,1.382
0.404,43,4.15,2.05,4663.0,2.56,33.6783,-116.204,0.915
0.292,22,6.36,three,4661.0,1.91,35.7459,-123.8418,1.212
0.279,11,6.01,2.66,3158.0,3.35,35.6123,-119.4573,1.464
0.234,5,3.83,1.85,4202.0,2.44,39.4354,-120.5504,1.384
0.456,28,3.43,1.49,3365.0,3.28,37.477,-119.6076,0.842
0.282,23,6.54,3.5,3673.0,3.38,35.0354,-123.5395,1.52
0.256,26,5.32,2.55,1386.0,3.68,34.6925,-123.0423,1.13
0.263,3,4.21,2.12,4915.0,3.18,36.8463,-121.4185,0.932
0.358,14,5.29,2.85,1084.0,3.79,38.8266,-121.6279,1.194
0.338,1,5.86,2.81,3534.0,3.97,37.3329,-120.4565,1.178
0.344,16,5.42,2.21,3112.0,3.18,34.9798,-119.6988,1.631
0.346,47,3.95,2.05,643.0,3.22,38.3899,-122.1777,0.647
0.629,8,7.39,3.56,3918.0,2.61,41.9897,-117.9982,3.471
0.258,35,6.5,3.54,572.0,2.31,34.1784,-120.5539,1.018
0.249,1,5.16,2.86,2645.0,3.9,37.5198,-123.8686,1.434
0.224,29,5.2,2.68,4116.0,3.42,36.0687,-121.9412,0.655
0.369,47,5.86,2.92,800.0,3.48,34.575,-118.6185,1.319
0.441,18,4.37,2.16,1931.0,2.59,40.8172,-118.1278,1.378
0.286,10,5.82,2.83,2639.0,4.14,41.5988,-116.1036,1.591
0.222,29,4.17,2.36,4636.0,2.84,35.8269,-121.9225,0.805
0.223,14,5.43,2.75,2033.0,2.44,35.7993,-118.5967,1.041
0.373,45,4.33,1.97,767.0,2.6,33.3717,-119.5009,1.397
0.386,43,4.38,2.4,830.0,4.1,38.3687,-115.5906,1.262
0.36,33,21.450000000000003,3.52,23080.0,2.22,32.7522,-116.8351,2.932
0.236,32,5.56,2.58,4359.0,2.47,37.214,-123.1142,1.03
0.322,31,5.71,2.94,3911.0,5.03,33.9517,-114.4329,1.166
0.31,37,3.49,1.61,2205.0,3.66,38.887,-120.7702,0.2
0.321,24,4.9,2.73,4267.0,2.49,41.3246,-114.4768,1.015
0.403,49,5.96,2.62,4608.0,2.24,33.3434,-121.5052,0.934
0.322,18,5.69,2.62,4362.0,1.83,39.8885,-119.5761,1.031
0.377,1,3.35,1.58,221.0,3.07,40.3904,-118.7201,1.414
0.304,35,5.71,2.45,675.0,3.51,34.174,-123.8323,1.379
0.329,34,5.87,2.88,3682.0,4.06,41.2651,-116.9855,1.077
0.371,50,6.78,3.43,2032.0,1.67,38.3987,-123.4005,1.785
0.179,20,4.84,2.04,962.0,2.07,37.5819,-122.7763,0.895
0.266,22,3.26,1.32,3302.0,2.92,38.8784,-121.4525,0.636
0.252,29,4.5,2.3,1906.0,4.95,35.237,-114.4122,0.931
0.238,20,4.4,2.12,4610.0,3.62,32.7414,-114.2823,1.145
0.27,40,6.24,2.7,2968.0,3.26,36.6995,-119.3622,0.54
0.502,22,2.78,1.34,1347.0,2.14,39.5618,-118.9001,1.825
0.22,40,5.05,,4686.0,1.52,41.2272,-122.2756,0.494
0.417,22,6.93,3.07,3081.0,3.03,36.586,-120.1106,1.856
0.165,12,5.51,2.77,1622.0,2.93,35.0047,-114.1636,0.853
0.264,50,6.4,2.93,888.0,2.81,33.7473,-116.1967,0.928
0.315,27,3.86,1.84,2864.0,2.73,41.3872,-117.1773,0.675
0.365,36,3.9,2.1,3786.0,2.48,34.694,-121.5766,1.239
0.381,30,6.94,3.65,4212.0,2.32,41.1552,-116.4879,1.802
0.392,18,5.6,2.84,812.0,3.97,34.2457,-114.3512,1.236
0.263,49,5.6,2.45,2274.0,2.38,32.6723,-114.1265,1.168
0.253,19,4.38,1.91,4999.0,2.81,34.6301,-118.2022,1.003
